Track,Artist,Genre song,Genre artist,Total Genre
Babe,Styx,#N/A,rock,rock
The Rose,Bette Midler,Soft rock,#N/A,soft rock
Cars,Gary Numan,#N/A,pop,pop
Magic,Olivia Newton-John,pop,pop,pop
We Don’t Talk Anymore,Cliff Richard,#N/A,pop,pop
Desire,Andy Gibb,#N/A,pop,pop
Real Love,Doobie Brothers,pop,#N/A,pop
Rock With You,Michael Jackson,#N/A,pop,pop
Sara,Fleetwood Mac,#N/A,rock,rock
Upside Down,Diana Ross,#N/A,rock,rock
Escape (THE Piña Colada Song),Rupert Holmes,Pop rock,#N/A,pop rock
Him,Rupert Holmes,Soft rock,#N/A,soft rock
Lady,Kenny Rogers,#N/A,country,country
It’s Still Rock And Roll To Me,Billy Joel,#N/A,rock,rock
On The Radio,Donna Summer,country,pop,country
Still,Commodores,#N/A,rock,rock
Another One Bites The Dust,Queen,#N/A,rock,rock
Longer,Dan Fogelberg,#N/A,country,country
Please Don’t Go,KC and the Sunshine Band,Pop,#N/A,pop
All Out Of Love,Air Supply,#N/A,rock,rock
Call Me,Blondie,pop,pop,pop
Crazy Little Thing Called Love,Queen,#N/A,rock,rock
Daydream Believer,Anne Murray,#N/A,pop,pop
Cruisin’,Smokey Robinson,Smooth R&B,#N/A,smooth r&b
Dreaming,Cliff Richard,#N/A,pop,pop
More Love,Kim Carnes,Pop,#N/A,pop
This Is It,Kenny Loggins,#N/A,pop,pop
Woman In Love,Barbra Streisand,#N/A,rock,rock
Fire Lake,Bob Seger and the Silver Bullet Band,Folk rock,#N/A,folk rock
Sailing,Christopher Cross,#N/A,pop,pop
Against The Wind,Bob Seger and the Silver Bullet Band,Heartland rock,#N/A,heartland rock
Biggest Part Of Me,Ambrosia,#N/A,pop,pop
Do That To Me One More Time,Captain & Tennille,#N/A,pop,pop
I Can’t Tell You Why,Eagles,#N/A,rock,rock
Ride Like The Wind,Christopher Cross,#N/A,pop,pop
Coward Of The County,Kenny Rogers,#N/A,country,country
How Do I Make You,Linda Ronstadt,#N/A,country,country
Jane,Jefferson Starship,#N/A,country,country
Off The Wall,Michael Jackson,#N/A,pop,pop
Shining Star,The Manhattans,R&B,#N/A,r&b
The Wanderer,Donna Summer,#N/A,pop,pop
Don’t Do Me Like That,Tom Petty and the Heartbreakers,#N/A,pop,pop
Give Me The Night,George Benson,#N/A,jazz,jazz
Lost In Love,Air Supply,pop,rock,pop
You May Be Right,Billy Joel,#N/A,rock,rock
Fame,Irene Cara,pop,pop,pop
Hurt So Bad,Linda Ronstadt,pop,country,pop
Coming Up,Paul McCartney,#N/A,rock,rock
Funkytown,Lipps Inc,Funk,#N/A,funk
Ladies’ Night,Kool & the Gang,Disco,#N/A,disco
Master Blaster (JAMMIN’),Stevie Wonder,jazz,#N/A,jazz
Stomp!,The Brothers Johnson,#N/A,jazz,jazz
Let My Love Open The Door,Pete Townshend,rock,pop,rock
One Fine Day,Carole King,#N/A,pop,pop
Steal Away,Robbie Dupree,rock,rock,rock
The Long Run,Eagles,#N/A,rock,rock
Cool Change,Little River Band,#N/A,pop,pop
Into The Night,Benny Mardones,Adult contemporary,#N/A,adult contemporary
She’s Out Of My Life,Michael Jackson,#N/A,pop,pop
Drivin’ My Life Away,Eddie Rabbitt,#N/A,country,country
Head Games,Foreigner,#N/A,rock,rock
I Wanna Be Your Lover,Prince,#N/A,rock,rock
Lookin’ For Love,Johnny Lee,#N/A,country,country
Late In The Evening,Paul Simon,#N/A,pop,pop
Little Jeannie,Elton John,rock,rock,rock
Sexy Eyes,Dr. Hook,Disco,#N/A,disco
Too Hot,Kool & the Gang,reggae,#N/A,reggae
"Yes, I’m Ready",Teri DeSario & KC,Soul/R&B,#N/A,soul/r&b
Emotional Rescue,The Rolling Stones,#N/A,rock,rock
He’s So Shy,the Pointer Sisters,#N/A,pop,pop
The Second Time Around,Shalamar,Funk,#N/A,funk
"Working My Way Back To You/Forgive Me, Girl",The Spinners,Disco/Funk,#N/A,disco/funk
Xanadu,Olivia Newton-John / Electric Light Orchestra,pop,#N/A,pop
Look What You’ve Done To Me,Boz Scaggs,#N/A,pop,pop
Jesse,Carly Simon,#N/A,pop,pop
All Over The World,Electric Light Orchestra,#N/A,pop,pop
An American Dream,The Dirt Band,Pop rock,#N/A,pop rock
Tired Of Toein’ The Line,Rocky Burnette,Pop rock,#N/A,pop rock
Better Love Next Time,Dr. Hook,Soft rock,#N/A,soft rock
Hot Rod Hearts,Robbie Dupree,#N/A,rock,rock
No More Tears (ENOUGH Is Enough),Barbra Streisand & Donna Summer,Pop,#N/A,pop
Let Me Love You Tonight,Pure Prairie League,country,country,country
Hold On To My Love,Jimmy Ruffin,Pop Soul,#N/A,pop soul
I’m Alright,Kenny Loggins,#N/A,pop,pop
Let’s Get Serious,Jermaine Jackson,Funk/R&B,#N/A,funk/r&b
Breakdown Dead Ahead,Boz Scaggs,pop,pop,pop
With You I’m Born Again,Billy Preston and Syreeta,Pop,#N/A,pop
Send One Your Love,Stevie Wonder,#N/A,blues,blues
Cupid/I’ve Loved You For A Long Time,The Spinners,Disco,#N/A,disco
Special Lady,"Ray, Goodman & Brown",R&B,#N/A,r&b
Never Knew Love Like This Before,Stephanie Mills,Soul,#N/A,soul
Take Your Time (DO It Right),The SOS Band,Disco,#N/A,disco
You’re Only Lonely,J.D. Souther,Soft rock,#N/A,soft rock
Pilot Of The Airwaves,Charlie Dore,Pop rock,#N/A,pop rock
"Another Brick In The Wall, Part Ii",Pink Floyd,#N/A,rock,rock
Romeo’s Tune,Steve Forbert,Pop Rock,#N/A,pop rock
I’m Coming Out (#5*),Diana Ross,#N/A,rock,rock
Brass In Pocket (I’M Special),The Pretenders,Rock,#N/A,rock
Don’t Fall In Love With A Dreamer,Kenny Rogers & Kim Carnes,Country Pop,#N/A,country pop
You’re The Only Woman (YOU & I),Ambrosia,#N/A,pop,pop
Together,Tierra,Pop,#N/A,pop
I Love You,Climax Blues Band,#N/A,blues,blues
Time,The Alan Parsons Project,rock,rock,rock
Woman,John Lennon,reggae,#N/A,reggae
You Make My Dreams,Daryl Hall & John Oates,#N/A,rock,rock
Elvira,The Oak Ridge Boys,country,country,country
Guilty,Barbra Streisand & Barry Gibb,Pop,#N/A,pop
Passion,Rod Stewart,#N/A,rock,rock
America,Neil Diamond,pop,pop,pop
9 To 5,Dolly Parton,#N/A,country,country
Hearts,Marty Balin,rock,rock,rock
Start Me Up,the Rolling Stones,rock,rock,rock
Bette Davis Eyes,Kim Carnes,Pop,#N/A,pop
Physical,Olivia Newton-John,#N/A,pop,pop
Lady,Kenny Rogers,#N/A,country,country
Keep On Loving You,REO Speedwagon,#N/A,rock,rock
Slow Hand,The Pointer Sisters,#N/A,pop,pop
The Winner Takes It All,ABBA,pop,pop,pop
Crying,Don McLean,rock,rock,rock
"De Do Do Do, De Da Da Da",The Police,#N/A,rock,rock
Just The Two Of Us,"Grover Washington, Jr. & Bill Withers",Jazz,#N/A,jazz
Another One Bites The Dust,Queen,#N/A,rock,rock
Hungry Heart,Bruce Springsteen,#N/A,rock,rock
Rapture,Blondie,#N/A,pop,pop
Hit Me With Your Best Shot,Pat Benatar,pop,pop,pop
Waiting For A Girl Like You,Foreigner,rock,rock,rock
Celebration,Kool & the Gang,Funk,#N/A,funk
Hold On Tight,Electric Light Orchestra,#N/A,pop,pop
Private Eyes,Daryl Hall & John Oates,#N/A,rock,rock
Sweetheart,Franke and the Knockouts,Pop,#N/A,pop
Take It On The Run,REO Speedwagon,#N/A,rock,rock
Time Is Time,Andy Gibb,#N/A,pop,pop
Here I Am (JUST When I Thought I Was Over You),Air Supply,rock,rock,rock
Angel Of The Morning,Juice Newton,country,country,country
Every Woman In The World,Air Supply,#N/A,rock,rock
Hey Nineteen,Steely Dan,#N/A,blues,blues
I Love A Rainy Night,Eddie Rabbitt,#N/A,country,country
Kiss On My List,Daryl Hall & John Oates,rock,rock,rock
Stop Draggin’ My Heart Around,Stevie Nicks with Tom Petty & the Heartbreakers,#N/A,soul,soul
Morning Train (NINE To Five),Sheena Easton,pop,pop,pop
Tell It Like It Is,Heart,reggae,pop,reggae
The One That You Love,Air Supply,#N/A,rock,rock
Urgent,Foreigner,#N/A,rock,rock
For Your Eyes Only,Sheena Easton,#N/A,pop,pop
Step By Step,Eddie Rabbitt,#N/A,country,country
Master Blaster (JAMMIN’),Stevie Wonder,Funk,funk,funk
Too Much Time On My Hands,Styx,#N/A,rock,rock
I Don’t Need You,Kenny Rogers,#N/A,country,country
Queen Of Hearts,Juice Newton,country,country,country
(JUST Like) Starting Over,John Lennon,Rock and Roll,#N/A,rock and roll
Ain’t Even Done With The Night,John Cougar,Rock and Roll,#N/A,rock and roll
Cool Love,Pablo Cruise,#N/A,country,country
Endless Love,Diana Ross & Lionel Richie,Funk,Soul,funk
Hard To Say,Dan Fogelberg,#N/A,country,country
Watching The Wheels,John Lennon,Soft Rock,#N/A,soft rock
Lady (YOU Bring Me Up),Commodores,#N/A,rock,rock
The Tide Is High,Blondie,#N/A,pop,pop
Being With You,Smokey Robinson,Soul,#N/A,soul
What Kind Of Fool,Barbra Streisand & Barry Gibb,Folk,Pop,folk
While You See A Chance,Steve Winwood,pop,pop,pop
All Those Years Ago,George Harrison,rock,rock,rock
The Best Of Times,Styx,rock,rock,rock
I Can’t Stand It,Eric Clapton,#N/A,blues,blues
More Than I Can Say,Leo Sayer,pop,pop,pop
A Woman Needs Love (JUST Like You Do),"Ray Parker, Jr. & Raydio",R&B/Soul,#N/A,r&b/soul
Her Town Too,James Taylor & J.D. Souther,Soft Rock,#N/A,soft rock
Living Inside Myself,Gino Vannelli,rock,rock,rock
Hello Again,Neil Diamond,#N/A,pop,pop
How ‘BOUT Us,Champaign,R&B/Pop,#N/A,r&b/pop
The Night Owls,Little River Band,pop,pop,pop
A Little In Love,Cliff Richard,#N/A,pop,pop
Love On The Rocks,Neil Diamond,#N/A,pop,pop
This Little Girl,Gary U.S. Bonds,Rock and Roll,#N/A,rock and roll
When She Was My Girl,Four Tops,#N/A,rock,rock
Miss Sun,Boz Scaggs,pop,pop,pop
Sukiyaki,A Taste of Honey,Pop/Ballad,#N/A,pop/ballad
I Made It Through The Rain,Barry Manilow,pop,pop,pop
Somebody’s Knockin’,Terri Gibbs,Country Pop,#N/A,country pop
Tryin’ To Live My Life Without You (LIVE),Bob Seger & the Silver Bullet Band,Rock,#N/A,rock
Same Old Lang Syne,Dan Fogelberg,#N/A,country,country
Gemini Dream,Moody Blues,pop,#N/A,pop
Share Your Love With Me,Kenny Rogers,country,country,country
Giving It Up For Your Love,Delbert McClinton,#N/A,country,country
I Ain’t Gonna Stand For It,Stevie Wonder,R&B,gospel,r&b
The Boy From New York City,The Manhattan Transfer,#N/A,jazz,jazz
It’s My Turn,Diana Ross,#N/A,rock,rock
Theme From Hill Street Blues,Mike Post featuring Larry Carlton,Pop,#N/A,pop
What Are We Doin’ In Love,Dottie West with Kenny Rogers,Pop,#N/A,pop
Who’s Crying Now,Journey,#N/A,rock,rock
Jessie’s Girl,Rick Springfield,#N/A,pop,pop
Theme From The Greatest American Hero (BELIEVE It Or Not),Joey Scarbury,Soft rock,#N/A,soft rock
Stars On 45 Medley,Stars on 45,Disco Pop,#N/A,disco pop
(THERE’S) No Gettin’ Over Me,Ronnie Milsap,#N/A,country,country
The Beach Boys Medley,The Beach Boys,Pop Rock,#N/A,pop rock
Don’t Stand So Close To Me,The Police,#N/A,rock,rock
We’re In This Love Together,Al Jarreau,#N/A,jazz,jazz
Super Freak (PART 1),Rick James,Funk,#N/A,funk
I’ve Done Everything For You,Rick Springfield,#N/A,pop,pop
The Breakup Song (THEY Don’t Write ‘EM),The Greg Kihn Band,Rock and Roll,#N/A,rock and roll
Arthur’s Theme (BEST That You Can Do),Christopher Cross,#N/A,pop,pop
Do I Do,Stevie Wonder,R&B,funk,r&b
Trouble,Lindsey Buckingham,Rock,#N/A,rock
Tainted Love,Soft Cell,pop,pop,pop
I Love Rock ‘N Roll,Joan Jett & The Blackhearts,#N/A,rock,rock
"Oh, Pretty Woman",Van Halen,#N/A,rock,rock
Heart Attack,Olivia Newton-John,#N/A,pop,pop
Mirror Mirror,Diana Ross,#N/A,rock,rock
Open Arms,Journey,#N/A,rock,rock
Physical,Olivia Newton-John,#N/A,pop,pop
Eye Of The Tiger,Survivor,rock,rock,rock
Sweet Dreams,Air Supply,#N/A,rock,rock
Who Can It Be Now?,Men at Work,#N/A,pop,pop
Hold Me,Fleetwood Mac,reggae,rock,reggae
Jack & Diane,John Cougar,Rock,#N/A,rock
The Other Woman,Ray Parker Jr.,R&B,#N/A,r&b
Oh No,Commodores,#N/A,rock,rock
Rosanna,Toto,#N/A,rock,rock
Think I’m In Love,Eddie Money,#N/A,pop,pop
Eye In The Sky,Alan Parsons Project,Rock,#N/A,rock
Centerfold,J. Geils Band,pop,#N/A,pop
Edge Of Seventeen,Stevie Nicks,rock,rock,rock
Hold On,Santana,blues,blues,blues
Making Love,Roberta Flack,jazz,jazz,jazz
Waiting For A Girl Like You,Foreigner,rock,rock,rock
HURTS SO GOOD,John Cougar,Rock,#N/A,rock
Up Where We Belong,Joe Cocker & Jennifer Warnes,Pop,#N/A,pop
Abracadabra,Steve Miller Band,#N/A,blues,blues
Gloria,Laura Branigan,rock,pop,rock
Heat Of The Moment,Asia,#N/A,rock,rock
Get Down On It,Kool & the Gang,Funk,#N/A,funk
I Can’t Go For That (NO Can Do),Daryl Hall & John Oates,#N/A,rock,rock
Somebody’s Baby,Jackson Browne,#N/A,pop,pop
That Girl,Stevie Wonder,#N/A,jazz,jazz
Vacation,The Go-Go’s,country,#N/A,country
Even The Nights Are Better,Air Supply,#N/A,rock,rock
Only The Lonely,The Motels,pop,pop,pop
Always On My Mind,Willie Nelson,#N/A,country,country
Blue Eyes,Elton John,rock,rock,rock
Caught Up In You,38 Special,#N/A,country,country
Goin’ Down,Greg Guidry,Soft Rock,#N/A,soft rock
Through The Years,Kenny Rogers,country,country,country
You Can Do Magic,America,#N/A,country,country
867-5309/Jenny,Tommy Tutone,Rock and Roll,#N/A,rock and roll
Cool Night,Paul Davis,#N/A,country,country
Do You Believe In Love,Huey Lewis and the News,pop,#N/A,pop
I Ran (SO Far Away),A Flock of Seagulls,#N/A,pop,pop
Waiting On A Friend,The Rolling Stones,rock,rock,rock
Crimson And Clover,Joan Jett & The Blackhearts,#N/A,rock,rock
Leader Of The Band,Dan Fogelberg,#N/A,country,country
You Could Have Been With Me,Sheena Easton,#N/A,pop,pop
Ebony And Ivory,Paul McCartney and Stevie Wonder,rock,#N/A,rock
Turn Your Love Around,George Benson,#N/A,jazz,jazz
We Got The Beat,The Go-Go’s,Rock and Roll,#N/A,rock and roll
Break It To Me Gently,Juice Newton,country,country,country
Leather And Lace,Stevie Nicks and Don Henley,rock,#N/A,rock
Shake It Up,The Cars,#N/A,pop,pop
Let It Whip,Dazz Band,Funk/R&B,#N/A,funk/r&b
Should I Do It,The Pointer Sisters,pop,pop,pop
Key Largo,Bertie Higgins,Soft Rock/Pop,#N/A,soft rock/pop
Truly (#1*),Lionel Richie,#N/A,rock,rock
Harden My Heart,Quarterflash,pop,pop,pop
Why Do Fools Fall In Love?,Diana Ross,#N/A,rock,rock
Freeze-Frame,J. Geils Band,#N/A,Rock and Roll,rock and roll
Personally,Karla Bonoff,Soft Rock/Pop,#N/A,soft rock/pop
Body Language,Queen,#N/A,rock,rock
Wasted On The Way,"Crosby, Stills & Nash",#N/A,country,country
Empty Garden (HEY Hey Johnny),Elton John,#N/A,rock,rock
Young Turks,Rod Stewart,#N/A,rock,rock
Don’t Stop Believin’,Journey,#N/A,rock,rock
Don’t Talk To Strangers,Rick Springfield,#N/A,pop,pop
Love Will Turn You Around,Kenny Rogers,#N/A,country,country
Any Day Now,Ronnie Milsap,#N/A,country,country
Take It Easy On Me,Little River Band,#N/A,pop,pop
Take It Away,Paul McCartney,#N/A,rock,rock
Don’t You Want Me,Human League,Synth-Pop/New Wave,#N/A,synth-pop/new wave
What’s Forever For,Michael Murphey,#N/A,Country,country
Bobbie Sue,Oak Ridge Boys,Country Rock,#N/A,country rock
Man On Your Mind,Little River Band,#N/A,pop,pop
65 Love Affair,Paul Davis,#N/A,country,country
Chariots Of Fire,Vangelis,Instrumental/Electronic,#N/A,instrumental/electronic
You Should Hear How She Talks About You,Melissa Manchester,Pop/Dance,#N/A,pop/dance
Did It In A Minute,Daryl Hall & John Oates,#N/A,rock,rock
Keep The Fire Burnin’,REO Speedwagon,#N/A,rock,rock
Love Is In Control (FINGER On The Trigger),Donna Summer,#N/A,pop,pop
Comin’ In And Out Of Your Life,Barbra Streisand,#N/A,rock,rock
Hard To Say I’m Sorry,Chicago,#N/A,rock,rock
Make A Move On Me,Olivia Newton-John,#N/A,pop,pop
Heartlight,Neil Diamond,pop,pop,pop
I Keep Forgettin’ (EVERY Time You’re Near),Michael McDonald,#N/A,rock,rock
Pac-Man Fever,Buckner & Garcia,Novelty/Pop Rock,#N/A,novelty/pop rock
Yesterday’s Songs,Neil Diamond,#N/A,pop,pop
Someone Could Lose A Heart Tonight,Eddie Rabbitt,country,country,country
It’s Gonna Take A Miracle,Deniece Williams,Soul/R&B,#N/A,soul/r&b
I’ve Never Been To Me,Charlene,Soft Pop,#N/A,soft pop
Let’s Groove,"Earth, Wind & Fire",#N/A,jazz,jazz
Hooked On Classics,Royal Philharmonic Orchestra,Classical/Pop Fusion,#N/A,classical/pop fusion
Spirits In The Material World,The Police,rock,rock,rock
Love’s Been A Little Bit Hard On Me,Juice Newton,#N/A,country,country
The Sweetest Thing (I’VE Ever Known),Juice Newton,#N/A,country,country
My Love,Lionel Richie,#N/A,rock,rock
Every Breath You Take,The Police,rock,rock,rock
Africa,Toto,#N/A,rock,rock
One On One,Daryl Hall & John Oates,#N/A,rock,rock
Sweet Dreams (ARE Made Of This),Eurythmics,#N/A,pop,pop
Uptown Girl,Billy Joel,#N/A,rock,rock
Maneater,Daryl Hall & John Oates,#N/A,rock,rock
Billie Jean,Michael Jackson,#N/A,pop,pop
Heart To Heart,Kenny Loggins,country,pop,country
You Are,Lionel Richie,#N/A,rock,rock
Down Under,Men at Work,#N/A,pop,pop
Total Eclipse Of The Heart,Bonnie Tyler,Rock Ballad,#N/A,rock ballad
Beat It,Michael Jackson,#N/A,pop,pop
You Can’t Hurry Love,Phil Collins,#N/A,rock,rock
